SWMM5 Interface File
*MODEL: Sewer catchment model to simulate sewer discharge from Central Fehraltorf to the the treatment plant at ARA Fehraltorf. This model includes the observed transfer flows from RUMLIKON at location 'f02' (node 555) and RUSSIKON at location 'f03' (node 11d). The model is not complete and may still contain errors! 
300  - reporting time step in sec
1    - number of constituents as listed below:
FLOW LPS
8    - number of nodes as listed below:
103d_SBW
ARA_Fehraltorf
Bacheinlauf1
Bacheinlauf2
Bacheinlauf30
Bacheinlauf47
Node_8
Notentlastung_48b
Node             Year Mon Day Hr  Min Sec FLOW      
Node_8           2016 06  16  03  20  00  0.000000  
Notentlastung_48b 2016 06  16  03  20  00  0.000000  
103d_SBW         2016 06  16  03  25  00  0.000000  
ARA_Fehraltorf   2016 06  16  03  25  00  52.984372 
Bacheinlauf1     2016 06  16  03  25  00  0.000000  
Bacheinlauf2     2016 06  16  03  25  00  0.000000  
Bacheinlauf30    2016 06  16  03  25  00  0.000000  
Bacheinlauf47    2016 06  16  03  25  00  0.000000  
Node_8           2016 06  16  03  25  00  0.000000  
Notentlastung_48b 2016 06  16  03  25  00  0.000000  
103d_SBW         2016 06  16  03  30  00  0.000000  
ARA_Fehraltorf   2016 06  16  03  30  00  54.006418 
Bacheinlauf1     2016 06  16  03  30  00  0.000000  
Bacheinlauf2     2016 06  16  03  30  00  0.000000  
Bacheinlauf30    2016 06  16  03  30  00  0.000000  
Bacheinlauf47    2016 06  16  03  30  00  0.000000  
Node_8           2016 06  16  03  30  00  0.000000  
Notentlastung_48b 2016 06  16  03  30  00  0.000000  
103d_SBW         2016 06  16  03  35  00  0.022393  
ARA_Fehraltorf   2016 06  16  03  35  00  55.328095 
Bacheinlauf1     2016 06  16  03  35  00  0.000000  
Bacheinlauf2     2016 06  16  03  35  00  0.001539  
Bacheinlauf30    2016 06  16  03  35  00  0.000000  
Bacheinlauf47    2016 06  16  03  35  00  0.000000  
Node_8           2016 06  16  03  35  00  0.000000  
Notentlastung_48b 2016 06  16  03  35  00  0.000000  
103d_SBW         2016 06  16  03  40  00  0.021853  
ARA_Fehraltorf   2016 06  16  03  40  00  55.606271 
Bacheinlauf1     2016 06  16  03  40  00  0.000000  
Bacheinlauf2     2016 06  16  03  40  00  0.002614  
Bacheinlauf30    2016 06  16  03  40  00  0.000000  
Bacheinlauf47    2016 06  16  03  40  00  0.000000  
Node_8           2016 06  16  03  40  00  0.000000  
Notentlastung_48b 2016 06  16  03  40  00  0.000000  
103d_SBW         2016 06  16  03  45  00  0.011504  
ARA_Fehraltorf   2016 06  16  03  45  00  55.948315 
Bacheinlauf1     2016 06  16  03  45  00  0.000000  
Bacheinlauf2     2016 06  16  03  45  00  0.002253  
Bacheinlauf30    2016 06  16  03  45  00  0.000000  
Bacheinlauf47    2016 06  16  03  45  00  0.000000  
Node_8           2016 06  16  03  45  00  0.000000  
Notentlastung_48b 2016 06  16  03  45  00  0.000000  
103d_SBW         2016 06  16  03  50  00  0.003322  
ARA_Fehraltorf   2016 06  16  03  50  00  56.880635 
Bacheinlauf1     2016 06  16  03  50  00  0.000000  
Bacheinlauf2     2016 06  16  03  50  00  0.001509  
Bacheinlauf30    2016 06  16  03  50  00  0.000000  
